format	width	quality	size	dssim	filename
webp	150	92	26958	0.00072939	./quality-samples/sample0.jpg
webp	150	91	26798	0.00076997	./quality-samples/sample0.jpg
webp	150	94	27584	0.00067239	./quality-samples/sample0.jpg
webp	150	95	28024	0.00064752	./quality-samples/sample0.jpg
webp	150	93	27302	0.00071521	./quality-samples/sample0.jpg
webp	150	91	16912	0.00054352	./quality-samples/sample1.jpg
webp	150	92	17864	0.00047702	./quality-samples/sample1.jpg
webp	150	94	20442	0.00034497	./quality-samples/sample1.jpg
webp	150	95	21620	0.00031042	./quality-samples/sample1.jpg
webp	150	93	19426	0.00038388	./quality-samples/sample1.jpg
webp	150	100	33266	0.00003302	./quality-samples/sample2.jpg
webp	150	97	11606	0.00034368	./quality-samples/sample2.jpg
webp	150	99	13550	0.00029392	./quality-samples/sample2.jpg
webp	150	96	10430	0.00037563	./quality-samples/sample2.jpg
webp	150	98	12672	0.00031089	./quality-samples/sample2.jpg
webp	150	93	18516	0.00076208	./quality-samples/sample3.jpg
webp	150	94	19216	0.00070536	./quality-samples/sample3.jpg
webp	150	92	17734	0.00081069	./quality-samples/sample3.jpg
webp	150	95	20502	0.00064082	./quality-samples/sample3.jpg
webp	150	91	17012	0.00085921	./quality-samples/sample3.jpg
webp	150	99	29648	0.00055966	./quality-samples/sample0.jpg
webp	150	96	22490	0.0002771	./quality-samples/sample1.jpg
webp	150	98	29170	0.00058534	./quality-samples/sample0.jpg
webp	150	97	28812	0.00061897	./quality-samples/sample0.jpg
webp	150	100	39798	0.00001421	./quality-samples/sample0.jpg
webp	150	96	28416	0.00062144	./quality-samples/sample0.jpg
webp	150	98	25616	0.00022372	./quality-samples/sample1.jpg
webp	150	99	27040	0.00021359	./quality-samples/sample1.jpg
webp	150	97	23628	0.00025711	./quality-samples/sample1.jpg
jpeg	150	70	5612	0.00188539	./quality-samples/sample2.jpg
webp	150	100	59154	0.00001526	./quality-samples/sample1.jpg
webp	150	97	22672	0.00058848	./quality-samples/sample3.jpg
webp	150	99	25174	0.00049952	./quality-samples/sample3.jpg
webp	150	98	23698	0.0005475	./quality-samples/sample3.jpg
webp	150	100	61560	0.00001557	./quality-samples/sample3.jpg
webp	150	96	21500	0.0006042	./quality-samples/sample3.jpg
jpeg	150	70	24269	0.00265768	./quality-samples/sample0.jpg
jpeg	150	72	5775	0.00176377	./quality-samples/sample2.jpg
jpeg	150	75	6073	0.00156909	./quality-samples/sample2.jpg
jpeg	150	73	5897	0.0016317	./quality-samples/sample2.jpg
jpeg	150	74	6050	0.00157425	./quality-samples/sample2.jpg
jpeg	150	71	5699	0.00180223	./quality-samples/sample2.jpg
jpeg	150	70	9621	0.00227933	./quality-samples/sample1.jpg
jpeg	150	70	9907	0.00293373	./quality-samples/sample3.jpg
jpeg	150	75	24648	0.0022574	./quality-samples/sample0.jpg
jpeg	150	74	24607	0.00228265	./quality-samples/sample0.jpg
jpeg	150	73	24498	0.00240382	./quality-samples/sample0.jpg
jpeg	150	71	24352	0.00255838	./quality-samples/sample0.jpg
jpeg	150	72	24398	0.00251533	./quality-samples/sample0.jpg
jpeg	150	80	6801	0.00124213	./quality-samples/sample2.jpg
jpeg	150	77	6366	0.00139501	./quality-samples/sample2.jpg
jpeg	150	76	6193	0.00147857	./quality-samples/sample2.jpg
jpeg	150	75	10508	0.0019076	./quality-samples/sample1.jpg
jpeg	150	79	6623	0.00132442	./quality-samples/sample2.jpg
jpeg	150	78	6523	0.00136473	./quality-samples/sample2.jpg
jpeg	150	74	10415	0.00192394	./quality-samples/sample1.jpg
jpeg	150	72	9931	0.00214325	./quality-samples/sample1.jpg
jpeg	150	73	10141	0.00204652	./quality-samples/sample1.jpg
jpeg	150	71	9801	0.00220144	./quality-samples/sample1.jpg
jpeg	150	72	10254	0.00282315	./quality-samples/sample3.jpg
jpeg	150	71	10117	0.00289245	./quality-samples/sample3.jpg
jpeg	150	73	10477	0.00270096	./quality-samples/sample3.jpg
jpeg	150	74	10755	0.00255132	./quality-samples/sample3.jpg
jpeg	150	75	10851	0.00249344	./quality-samples/sample3.jpg
jpeg	150	76	24746	0.00216162	./quality-samples/sample0.jpg
jpeg	150	77	24880	0.0020462	./quality-samples/sample0.jpg
jpeg	150	79	25094	0.00190705	./quality-samples/sample0.jpg
jpeg	150	80	25213	0.0018152	./quality-samples/sample0.jpg
jpeg	150	78	25011	0.0019756	./quality-samples/sample0.jpg
jpeg	150	82	7145	0.00109723	./quality-samples/sample2.jpg
jpeg	150	85	7789	0.00090528	./quality-samples/sample2.jpg
jpeg	150	83	7400	0.00102579	./quality-samples/sample2.jpg
jpeg	150	80	11817	0.00152595	./quality-samples/sample1.jpg
jpeg	150	81	6987	0.00114653	./quality-samples/sample2.jpg
jpeg	150	78	11328	0.00168347	./quality-samples/sample1.jpg
jpeg	150	84	7591	0.0009989	./quality-samples/sample2.jpg
jpeg	150	76	10757	0.00182316	./quality-samples/sample1.jpg
jpeg	150	79	11523	0.00160906	./quality-samples/sample1.jpg
jpeg	150	77	11042	0.00175491	./quality-samples/sample1.jpg
jpeg	150	79	11923	0.00212197	./quality-samples/sample3.jpg
jpeg	150	83	25691	0.00149703	./quality-samples/sample0.jpg
jpeg	150	84	25841	0.00143151	./quality-samples/sample0.jpg
jpeg	150	82	25518	0.00160664	./quality-samples/sample0.jpg
jpeg	150	85	26014	0.00135481	./quality-samples/sample0.jpg
jpeg	150	81	25373	0.00173316	./quality-samples/sample0.jpg
jpeg	150	78	11701	0.00220604	./quality-samples/sample3.jpg
jpeg	150	77	11417	0.0022658	./quality-samples/sample3.jpg
jpeg	150	76	11117	0.00241366	./quality-samples/sample3.jpg
jpeg	150	80	12272	0.00197803	./quality-samples/sample3.jpg
jpeg	150	87	8317	0.00080104	./quality-samples/sample2.jpg
jpeg	150	90	9538	0.00060722	./quality-samples/sample2.jpg
jpeg	150	86	8089	0.00085197	./quality-samples/sample2.jpg
jpeg	150	88	8737	0.00074003	./quality-samples/sample2.jpg
jpeg	150	89	9017	0.00067993	./quality-samples/sample2.jpg
jpeg	150	82	12464	0.00136486	./quality-samples/sample1.jpg
jpeg	150	84	13271	0.00125075	./quality-samples/sample1.jpg
jpeg	150	81	12150	0.00142941	./quality-samples/sample1.jpg
jpeg	150	85	13663	0.00115185	./quality-samples/sample1.jpg
jpeg	150	83	12877	0.00130266	./quality-samples/sample1.jpg
jpeg	150	86	26232	0.00123149	./quality-samples/sample0.jpg
jpeg	150	88	26721	0.00107749	./quality-samples/sample0.jpg
jpeg	150	90	27282	0.00089057	./quality-samples/sample0.jpg
jpeg	150	89	26946	0.00099512	./quality-samples/sample0.jpg
jpeg	150	87	26417	0.0011812	./quality-samples/sample0.jpg
jpeg	150	82	12976	0.00176858	./quality-samples/sample3.jpg
jpeg	150	83	13410	0.0016787	./quality-samples/sample3.jpg
jpeg	150	85	14180	0.00150644	./quality-samples/sample3.jpg
jpeg	150	84	13740	0.0016028	./quality-samples/sample3.jpg
jpeg	150	81	12636	0.00187713	./quality-samples/sample3.jpg
jpeg	150	95	13113	0.00031999	./quality-samples/sample2.jpg
jpeg	150	94	12012	0.00036992	./quality-samples/sample2.jpg
jpeg	150	91	9928	0.00051991	./quality-samples/sample2.jpg
jpeg	150	93	11121	0.00042563	./quality-samples/sample2.jpg
jpeg	150	92	10349	0.00048717	./quality-samples/sample2.jpg
jpeg	150	86	14218	0.00105002	./quality-samples/sample1.jpg
jpeg	150	90	16803	0.0007351	./quality-samples/sample1.jpg
jpeg	150	88	15355	0.00088111	./quality-samples/sample1.jpg
jpeg	150	87	14653	0.00096535	./quality-samples/sample1.jpg
jpeg	150	89	15940	0.0008148	./quality-samples/sample1.jpg
jpeg	150	95	29690	0.00053251	./quality-samples/sample0.jpg
jpeg	150	94	29055	0.00057858	./quality-samples/sample0.jpg
jpeg	150	92	27950	0.00072188	./quality-samples/sample0.jpg
jpeg	150	91	27633	0.00081642	./quality-samples/sample0.jpg
jpeg	150	93	28442	0.00065979	./quality-samples/sample0.jpg
jpeg	150	89	16476	0.00112971	./quality-samples/sample3.jpg
jpeg	150	87	15180	0.0013302	./quality-samples/sample3.jpg
jpeg	150	88	15886	0.0012287	./quality-samples/sample3.jpg
jpeg	150	90	17361	0.0010156	./quality-samples/sample3.jpg
